Column 0;Column 1;Column 2;Column 3;Column 4;Column 5;Column 6;Column 7;Column 8;Column 9;
-1310102770;-710238882;-1291714057;-1699737854;-1278779908;-1586581077;-339533584;-854108481;-1620869944;384145234;
-1992489216;-2018150396;1338437372;1406305912;-314957870;223961977;528350248;505439209;-465443424;1652923566;
254462881;-1758960791;317779226;-1599135391;875864524;1824274485;1860794992;-505062284;110184561;-68506934;
-1319238478;1156412647;-930257686;1551540328;125606189;1578638909;327454679;566441923;1954776083;-1857064554;
1246655128;-1444657602;-505527707;2054428220;1815987493;1869028263;-2016090203;118448114;1274424947;356651031;
-1236829169;1568429459;-1355543793;-1453154415;197268920;561951244;1403008253;1954331593;883099363;-1852678787;
-1995917130;-149273739;-289623139;-1400010589;-2003406237;839048405;-1503033959;-1761138300;966627160;-1381466240;
-1603757491;2089436508;1426010067;1666726257;1877477196;-667962425;1600562421;-78775472;-607399707;1966425903;
-1603431451;1659862581;1018066614;1760613810;-1551690515;-1530298737;-936525518;1320634190;110407237;-1340430899;
51068586;1921745418;-119573270;435614018;-139410200;1076556313;1357512507;-1204425278;-969720435;1711272812;
1951017840;-2092195229;-1592798934;1815631000;-1151224227;2052171410;-742860639;1752220417;-77521304;-964677798;
356430014;965020747;-1860137272;540155887;-1726559216;-986816255;-1877291265;-1858705024;-1395286259;471729286;
-540963258;958234574;-1463205896;-1596406310;-735935551;-1757084652;560521630;1924540236;739517315;-183006770;
854691859;1985360766;1395521131;-1087701419;-2131627323;-1441772771;1900688288;86601029;365452708;663006745;
1951926414;2035683019;-2085535305;1203672589;-1928881888;1297041708;-1853617155;447267310;96515134;1234235801;
1582304902;-1206133002;612202632;1289574449;-1150726192;175078099;-347708076;-391976106;57629798;8612619;
-1114621087;-1556521503;-432495147;-263398266;144842813;-531083316;-1943485671;411180235;-240841121;-1801551728;
-1463426912;-302941954;-29346823;-403408325;371167085;-259778700;-809016469;1514342627;585172654;-1267582387;
93277378;1397038202;443337166;387326298;763844467;-1896323632;530998491;316400978;-1592027048;2032368360;
1316051738;1283274804;1467064298;2043907711;1911727080;1709258494;1822366911;-269809959;532959699;1359853711;
-1172024077;-2063101665;689643317;-105873887;-644597313;-1191860587;-1652682473;2066531967;-680725408;-222908737;
-1052821172;1476392810;-1830550605;477009608;-346047293;2145000999;1016071569;-1538961602;-1359280409;1449706850;
1486257978;2059298563;1423941481;-7690932;764432647;-146588682;-1319935114;1551245173;1824644567;-1241168740;
718437032;525010074;-177518778;-1372917794;193103270;105741744;-1389778950;1911794871;2054817157;-519578262;
-2041282475;-1478316178;-1638501755;219352212;1827634646;-1965750629;-667418481;-91312062;1949774360;-1118824199;
-226692029;-86719886;-1824270116;-1530436114;-907477660;-722405988;1786752271;-1191264761;1604924728;-139657051;
944936525;920801389;137215486;2032610842;-1160368543;-839443696;-820374629;-823823967;-2144940720;1641217319;
2080760221;1486000826;-47630818;-1042971425;-846798467;1235328385;-1823077446;1729154241;1210259277;64129915;
-2099743035;-1212378556;-626221152;248422184;-842364860;-499132049;-1164760661;-126982732;872669331;2111551535;
-1143725581;-1165180233;2023229942;-827392454;-266599710;-269887224;500596241;2102613648;-1355999397;-821374166;
-25605368;787326499;-789233729;-777907944;51313524;-1242948842;-2077476463;1062574087;700236535;1820260419;
-1697021136;1606786865;256978998;791298531;-615483059;191920637;1345322033;-1078835026;-1639383157;-2108488692;
1665816342;-320321702;-1764479843;-214891190;1854139627;328794155;483619373;-262348877;-1718632775;-156013711;
-1471585637;-773415347;1652133640;1674552063;197514148;-1020635658;-87111428;-1449099526;1801394542;-235997850;
1167676459;1374071243;554662957;-907990560;407879977;1763052222;-2139143420;-429554228;1320791731;-230275087;
-1362720270;-1328195020;-1939518747;-1199491884;1187512413;1666245133;1152841015;-1722082485;1256736132;737025839;
739469277;-967239392;-1293906445;-1622971830;-1325272411;1521055524;549835751;140314193;710795065;-599766049;
-1429850291;-309290980;-2101733282;555995427;639288419;-1551874444;1125942369;-1994760968;587236999;-573726921;
-1416230226;1615014327;932548626;239464958;-810553448;1899958707;537297501;1940380550;-1881168762;141517669;
1185597140;415438246;513906112;1734250366;1166225071;-1575935602;265688112;29513835;-126746566;-868263830;
830767771;-181066373;422770809;-756991687;1106678935;-1175098037;-1203774926;-101575890;-62396350;-648924196;
-749670296;-1151430507;2145563111;579653;-2089547045;1549096393;-964203023;-2024865140;-49750715;-991367634;
625197275;89536684;903796377;1134533763;-1977951578;-1554555109;576568208;986050340;1020247582;1168059962;
982235483;-579093953;1332566939;946427881;-1993037319;1983982655;805485614;1967169017;1407810779;65315071;
781479022;141963430;-1147095224;876005073;-249179871;-349749139;1076272864;-64409912;1047833670;-1862251932;
-67503224;-809373601;-110381851;-692997404;1572318536;1284555214;1861070685;605384717;-1421886309;-1427687568;
-100918506;-646316164;-127713145;1355422935;1536650540;66583828;-1462926503;180746587;762423499;2009145768;
405608366;-277992939;-1048647056;229094817;-41907977;-923173545;400483849;605509042;111573517;1372689787;
2097126280;-1551913377;-1310689366;-1114741291;-1643590352;1729584619;1158464860;-1786165684;951155035;-824849591;
-661852122;-1647059400;-460465738;1131909813;84322227;421022463;64630754;-753589012;894838521;-665735641;
1224256555;2044569556;1552856008;-612599821;141890268;-85277366;607935108;1036076483;-1930939057;-420736722;
973746120;2127923635;2138990383;1830099381;37633520;1200999148;-1244080720;-1763347048;-298506988;1692942362;
1138158497;-1241465521;-526820850;403790854;2080077928;-2021229729;416748126;1512316763;1067407084;371888716;
-1448792583;1234815132;342265663;842696815;-1046887483;499546237;978385936;1182420450;-322776179;-690479140;
736530542;-1407517541;769857441;1365985547;1224033729;1508608151;1775127619;479880758;718488402;1168787863;
1959714023;-827592040;-1480946342;-221526197;1158344357;-565708439;-1909577368;-913919681;956351646;155911726;
